Country,Year,New businesses registered (number),"Air transport, passengers carried","Portfolio investment, bonds (PPG + PNG) (NFL, current US$)","Listed domestic companies, total","International tourism, receipts (current US$)","Next Year International tourism, receipts (current US$)","Next Year International tourism, receipts (current US$) category"
Afghanistan,2016,3492.0,1917924.0,0.0,,69000000.0,19000000.0,red
Albania,2016,2679.0,26634.0,-5640000.0,,1820000000.0,2049000000.0,green
Algeria,2016,,6093416.0,0.0,,246000000.0,172000000.0,red
American Samoa,2016,,,,,22000000.0,22000000.0,red
Andorra,2016,,,,,,,red
Angola,2016,,1482546.0,0.0,,628000000.0,884000000.0,green
Antigua and Barbuda,2016,279.0,1042929.0,,,804000000.0,774000000.0,red
Argentina,2016,,15076354.0,,93.0,5186000000.0,5514000000.0,green
Armenia,2016,3573.0,,0.0,,988000000.0,1140000000.0,green
Aruba,2016,,,,,1632000000.0,1733000000.0,green
Australia,2016,246623.0,72446421.0,,1969.0,36786000000.0,43982000000.0,green
Austria,2016,3486.0,14724774.0,,71.0,20971000000.0,22408000000.0,green
Azerbaijan,2016,7218.0,1961639.0,1000000000.0,,2855000000.0,3214000000.0,green
"Bahamas, The",2016,,937476.0,,,2608000000.0,2598000000.0,red
Bahrain,2016,,5220218.0,,43.0,4021000000.0,3836000000.0,red
Bangladesh,2016,,3815869.0,0.0,557.0,214300000.0,344000000.0,green
Barbados,2016,,,,19.0,1040000000.0,1064000000.0,green
Belarus,2016,7206.0,2057194.0,0.0,55.0,1019000000.0,1134000000.0,green
Belgium,2016,27248.0,12545322.0,,116.0,12697000000.0,13750000000.0,green
Belize,2016,911.0,990499.0,0.0,,391000000.0,427000000.0,green
Benin,2016,,899.0,0.0,,129000000.0,,red
Bermuda,2016,,,,13.0,441000000.0,513000000.0,green
Bhutan,2016,47.0,224101.0,0.0,,139000000.0,105000000.0,red
Bolivia,2016,3612.0,3678739.0,0.0,,827000000.0,919000000.0,green
Bosnia and Herzegovina,2016,2814.0,,-20579000.0,,773000000.0,894000000.0,green
Botswana,2016,26613.0,254396.0,0.0,,580000000.0,704600000.0,green
Brazil,2016,18393.0,94142377.0,-7709917000.0,338.0,6613000000.0,6175000000.0,red
British Virgin Islands,2016,,,,,,,red
Brunei Darussalam,2016,760.0,1168609.0,,,144000000.0,177000000.0,green
Bulgaria,2016,50753.0,1092333.0,2166843000.0,,4164000000.0,4678000000.0,green
Burkina Faso,2016,,144950.0,0.0,,172000000.0,,red
Burundi,2016,,,0.0,,1900000.0,3000000.0,green
Cabo Verde,2016,,565810.0,0.0,,401000000.0,462000000.0,green
Cambodia,2016,,1047394.0,0.0,,3523000000.0,4023000000.0,green
Cameroon,2016,,343592.0,-63438000.0,,508000000.0,543000000.0,green
Canada,2016,1564.0,85406425.0,,3368.0,18088000000.0,20404000000.0,green
Caribbean small states,2016,,5986259.0,,,10227300000.0,10633530905.9299,green
Cayman Islands,2016,,,,,657000000.0,,red
Central African Republic,2016,,,0.0,,,,red
Chad,2016,,,0.0,,,,red
Channel Islands,2016,,,,,,,red
Chile,2016,109974.0,16362437.0,,214.0,3723000000.0,4604000000.0,green
China,2016,,487960477.0,22273277000.0,3052.0,44432000000.0,32617000000.0,red
Colombia,2016,76334.0,32262658.0,1579863000.0,68.0,5584000000.0,5801000000.0,green
Comoros,2016,,,0.0,,,,red
"Congo, Dem. Rep.",2016,1565.0,416033.0,0.0,,4300000.0,6000000.0,green
"Congo, Rep.",2016,,577780.0,-22695000.0,,42900000.0,,red
Costa Rica,2016,7028.0,1572605.0,1000945000.0,10.0,3776000000.0,3827000000.0,green
Cote d'Ivoire,2016,,667062.0,136377000.0,,477000000.0,,red
Croatia,2016,13618.0,1875433.0,,160.0,9820000000.0,11128000000.0,green
