trade_date,td_year,td_month,td_day,td_weekday,td_week_number,td_year_week,open,high,low,close,volume,adj_close,return,short_ma,long_ma,label
2014-01-01,2014,1,1,Wednesday,00,2014-00,805.94,829.93,770.97,815.94,8663855,815.94,0.0,815.94,815.94,
2014-01-02,2014,1,2,Thursday,00,2014-00,815.94,886.21,810.47,856.91,10826907,856.91,0.05021202539402392,836.425,836.425,
2014-01-03,2014,1,3,Friday,00,2014-00,856.91,888.23,839.44,884.26,8409629,884.26,0.03191700411945253,852.3699999999999,852.3699999999999,
2014-01-04,2014,1,4,Saturday,00,2014-00,884.26,932.16,848.32,924.69,12784626,924.69,0.045721846515730746,870.4499999999999,870.4499999999999,
2014-01-05,2014,1,5,Sunday,01,2014-01,924.69,1029.86,911.36,1014.74,20789364,1014.74,0.09738398814737903,899.308,899.308,
2014-01-06,2014,1,6,Monday,01,2014-01,1014.74,1093.44,964.74,1012.65,23622237,1012.65,-0.0020596408932337384,918.1983333333333,918.1983333333333,
2014-01-07,2014,1,7,Tuesday,01,2014-01,1012.65,1043.98,879.85,879.9,21753921,879.9,-0.13109169011998223,912.7271428571428,912.7271428571428,
2014-01-08,2014,1,8,Wednesday,01,2014-01,879.9,966.9,858.9,938.84,12942254,938.84,0.06698488464598262,915.9912499999999,915.9912499999999,
2014-01-09,2014,1,9,Thursday,01,2014-01,938.84,964.64,866.55,936.95,13202619,936.95,-0.0020131225767968663,918.3199999999999,918.3199999999999,
2014-01-10,2014,1,10,Friday,01,2014-01,936.95,964.84,905.88,957.76,5909107,957.76,0.02221036341320226,922.2639999999999,922.2639999999999,
2014-01-11,2014,1,11,Saturday,01,2014-01,957.76,1010.84,935.0,1005.32,10948175,1005.32,0.049657534246575485,929.8145454545454,929.8145454545454,
2014-01-12,2014,1,12,Sunday,02,2014-02,1005.32,1022.67,922.07,939.79,9620090,939.79,-0.06518322524171416,930.6458333333334,930.6458333333334,
2014-01-13,2014,1,13,Monday,02,2014-02,939.79,949.24,879.94,922.91,9220891,922.91,-0.01796145947498906,930.0507692307692,930.0507692307692,
2014-01-14,2014,1,14,Tuesday,02,2014-02,922.91,942.47,904.19,919.28,3960633,919.28,-0.003933211255702118,929.2814285714286,929.2814285714286,
2014-01-15,2014,1,15,Wednesday,02,2014-02,919.28,973.09,915.06,941.22,6448062,941.22,0.023866504220694473,938.2299999999999,930.0773333333333,
2014-01-16,2014,1,16,Thursday,02,2014-02,941.22,955.53,910.5,913.49,4720008,913.49,-0.0294617623934893,942.2714285714285,929.040625,
2014-01-17,2014,1,17,Friday,02,2014-02,913.49,929.75,867.22,894.16,9203107,894.16,-0.02116060383802787,942.9785714285714,926.9888235294118,
2014-01-18,2014,1,18,Saturday,02,2014-02,894.16,924.74,884.74,905.72,5493742,905.72,0.012928334973606681,941.6235714285713,925.8072222222222,
2014-01-19,2014,1,19,Sunday,03,2014-03,905.72,958.07,901.88,954.8,7071649,954.8,0.05418893256193957,937.3421428571427,927.3331578947367,
2014-01-20,2014,1,20,Monday,03,2014-03,954.8,980.54,925.96,955.95,9981282,955.95,0.0012044407205697993,933.2921428571427,928.7639999999999,
2014-01-21,2014,1,21,Tuesday,03,2014-03,955.95,974.25,943.18,962.21,6289022,962.21,0.006548459647471194,939.1714285714286,930.3566666666666,
2014-01-22,2014,1,22,Wednesday,03,2014-03,962.21,973.94,934.95,950.95,4503428,950.95,-0.011702227164548273,940.0364285714286,931.2927272727272,
2014-01-23,2014,1,23,Thursday,03,2014-03,950.95,958.06,936.27,944.16,1839615,944.16,-0.007140228192859865,940.5514285714286,931.8521739130434,
2014-01-24,2014,1,24,Friday,03,2014-03,944.16,949.52,902.89,916.55,5684047,916.55,-0.02924292492797831,937.607857142857,931.2145833333333,
